,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,MortalityRate
16,17.0,Peru,1987933,0,187157.0,0,0.0,0,0.0,2629.0,59518.0,5603.0,13230098.0,396106.0,South America,17.0,178.0,3.0,0,0,2399.0,32972000.0,-9.189967,-75.015152,6.029155040640544,0.0,0.0,9.414653310750412
14,15.0,Mexico,2438011,"+3,449",229100.0,+262,1944267.0,"+2,354",264644.0,4798.0,18725.0,1760.0,7152174.0,54933.0,North America,53.0,568.0,18.0,26.0,2.0,2033.0,128933000.0,23.634501,-102.552784,1.8909131099097982,79.74808153039507,10.854914108262841,9.397004361342095
103,116.0,Sudan,36122,0,2711.0,0,29812.0,0,3599.0,0,806.0,61.0,232965.0,5200.0,Africa,1240.0,16526.0,192.0,0,0,80.0,43849000.0,12.862807,30.217636,0.08237816141759219,82.53142129450197,9.963457172914014,7.50512153258402
65,66.0,Egypt,269527,0,15437.0,0,197832.0,0,56258.0,90.0,2588.0,148.0,2869589.0,27557.0,Africa,386.0,6746.0,36.0,0,0,540.0,102334000.0,26.820553000000004,30.802497999999996,0.2633797173959779,73.39969650535939,20.87286245904863,5.727441035591982
145,222.0,China,91316,+16,4636.0,0,86267.0,+12,413.0,10.0,63.0,3.0,160000000.0,111163.0,Asia,15762.0,310467.0,9.0,0.01,0,0.3,1439324000.0,35.86166,104.195397,0.006344367216832346,94.4708484821937,0.45227561435016866,5.076875903456131
44,45.0,Ecuador,433870,+885,20903.0,+72,398645.0,0,14322.0,479.0,24248.0,1168.0,1452441.0,81174.0,South America,41.0,856.0,12.0,49.0,4.0,800.0,17643000.0,-1.8312389999999998,-78.183406,2.4591622739896843,91.88120865697098,3.300988775439648,4.8178025675893705
77,78.0,Bosnia and Herzegovina,204512,+57,9467.0,+7,176881.0,+178,18164.0,0,62701.0,2902.0,996877.0,305633.0,Europe,16.0,345.0,3.0,17.0,2.0,5569.0,3281000.0,43.915886,17.679076000000002,6.233221578786955,86.48930136128932,8.881630417774996,4.62906822093569
45,46.0,Bulgaria,419859,0,17860.0,0,387416.0,0,14583.0,267.0,60855.0,2589.0,2933101.0,425126.0,Europe,16.0,386.0,2.0,0,0,2114.0,6948000.0,42.733883,25.48583,6.042875647668393,92.27288208660526,3.4733088965581302,4.2538090168366045
91,98.0,Afghanistan,85892,"+1,842",3356.0,+51,59871.0,+302,22665.0,1124.0,2161.0,84.0,511469.0,12869.0,Asia,463.0,11843.0,78.0,46.0,1.0,570.0,38928000.0,33.93911,67.709953,0.2206432387998356,69.70497834489825,26.387789316816466,3.9072323382852887
49,50.0,Bolivia,392975,"+2,981",15177.0,+95,311340.0,"+2,369",66458.0,200.0,33242.0,1284.0,1577440.0,133437.0,South America,30.0,779.0,7.0,252.0,8.0,5622.0,11673000.0,-16.290154,-63.588653,3.3665295982181105,79.22641389401362,16.911508365672116,3.8620777403142696
32,33.0,Hungary,806385,+179,29889.0,+6,720400.0,"+1,823",56096.0,58.0,83673.0,3101.0,5936304.0,615968.0,Europe,12.0,322.0,2.0,19.0,0.6,5821.0,9660000.0,47.162494,19.503304,8.347670807453417,89.33697923448477,6.956478605132784,3.7065421603824475
53,54.0,Tunisia,358183,0,13126.0,0,314730.0,0,30327.0,424.0,30013.0,1100.0,1525714.0,127845.0,Africa,33.0,909.0,8.0,0,0,2541.0,11819000.0,33.886917,9.537499,3.03056942211693,87.86849180446866,8.466900997534779,3.664607197996555
115,133.0,Eswatini,18680,0,674.0,0,17912.0,0,94.0,10.0,15947.0,575.0,214423.0,183051.0,Africa,63.0,1738.0,5.0,0,0,80.0,1160000.0,-26.497615999999997,31.355666999999997,1.610344827586207,95.88865096359743,0.5032119914346895,3.6081370449678802
81,83.0,North Macedonia,155469,+28,5467.0,+5,149551.0,+23,451.0,25.0,74627.0,2624.0,821365.0,394263.0,Europe,13.0,381.0,3.0,13.0,2.0,216.0,2083000.0,41.608635,21.745275,7.463706192990878,96.19345335726094,0.2900899857849475,3.5164566569541194
18,19.0,South Africa,1704058,0,57183.0,0,1587015.0,0,59860.0,546.0,28398.0,953.0,11932018.0,198845.0,Africa,35.0,1049.0,5.0,0,0,998.0,59309000.0,-30.559482,22.937506,2.8731861943381274,93.13151312924795,3.512791231284381,3.3556956394676707
139,193.0,Antigua and Barbuda,1263,0,42.0,0,1214.0,0,7.0,0,12798.0,426.0,16700.0,169222.0,North America,78.0,2350.0,6.0,0,0,71.0,98000.0,17.060816,-61.796428000000006,1.2887755102040817,96.12034837688044,0.5542359461599367,3.32541567695962
50,51.0,Slovakia,390693,+147,12430.0,+7,376753.0,+181,1510.0,51.0,71528.0,2276.0,2875030.0,526358.0,Europe,14.0,439.0,2.0,27.0,1.0,276.0,5460000.0,48.669026,19.699023999999998,7.155549450549451,96.4319811207265,0.386492719347416,3.18152615992608
67,68.0,Guatemala,263836,0,8331.0,0,240961.0,0,14544.0,5.0,14477.0,457.0,1464328.0,80350.0,North America,69.0,2188.0,12.0,0,0,798.0,17916000.0,15.783470999999999,-90.23075899999999,1.4726278187095332,91.32984126502828,5.512515350444973,3.1576433845267515
106,122.0,Australia,30210,+6,910.0,0,29156.0,0,144.0,1.0,1172.0,35.0,19046031.0,738901.0,Australia/Oceania,853.0,28325.0,1.0,0.2,0,6.0,25500000.0,-25.274398,133.775136,0.11847058823529412,96.51108904336313,0.4766633565044687,3.0122476001324063
46,47.0,Greece,412420,+886,12346.0,+15,386567.0,"+1,898",13507.0,381.0,39750.0,1190.0,9910362.0,955186.0,Europe,25.0,840.0,1.0,85.0,1.0,1302.0,10423000.0,39.074208,21.824312,3.956826249640219,93.73139033024587,3.275059405460453,2.993550264293681
7,8.0,Italy,4237790,"+2,199",126767.0,+77,3936088.0,"+8,912",174935.0,661.0,70187.0,2100.0,67851729.0,1123772.0,Europe,14.0,476.0,1.0,36.0,1.0,2897.0,60462000.0,41.87194,12.56738,7.0090139261023445,92.88067601273305,4.127977082394361,2.9913469048725867
26,27.0,Romania,1079294,+140,31383.0,+14,1043482.0,+111,4429.0,272.0,56456.0,1642.0,9288260.0,485856.0,Europe,18.0,609.0,2.0,7.0,0.7,232.0,19238000.0,45.943160999999996,24.96676,5.610219357521571,96.68190502309844,0.4103608469981303,2.907734129903437
6,7.0,UK,4535754,"+7,540",127860.0,+6,4281627.0,"+2,234",126267.0,154.0,66488.0,1874.0,191044609.0,2800437.0,Europe,15.0,534.0,0.0,111.0,0.09,1851.0,67886000.0,55.378051,-3.435973,6.681427687593907,94.39724905715786,2.7838149952576794,2.818935947584459
2,3.0,Brazil,17038260,0,477307.0,0,15494071.0,0,1066882.0,8318.0,79628.0,2231.0,50028915.0,233811.0,South America,13.0,448.0,4.0,0,0,4986.0,212559000.0,-14.235004,-51.92528,8.015779148377627,90.93693252714773,6.261683998248648,2.801383474603627
124,151.0,Taiwan,11968,+275,333.0,+25,1133.0,0,10502.0,0,502.0,14.0,1197200.0,50182.0,Asia,1993.0,71643.0,20.0,12.0,1.0,440.0,23817000.0,23.69781,120.96051499999999,0.0502498215560314,9.466911764705882,87.75066844919786,2.7824197860962565
