,#,Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,TotÂ Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,Population,lat,long,PopulationAffected,Cases Recovered,Cases Active,Mortality Rate
119,141.0,Andorra,13781,0,127.0,0,13557.0,0,97.0,3.0,178093.0,1641.0,193595.0,2501842.0,Europe,6.0,609.0,0.0,0,0,1254.0,77000.0,42.546245,1.6015540000000001,17.897402597402596,98.37457368841159,0.703867643857485,0.9215586677309339
20,21.0,Czechia,1664382,+384,30202.0,+2,1627151.0,+28,7029.0,40.0,155150.0,2815.0,26152234.0,2437850.0,Europe,6.0,355.0,0.0,36.0,0.2,655.0,10709000.0,49.817492,15.472961999999999,15.541899337006257,97.7630736213201,0.4223189147683644,1.8146074639115302
130,168.0,San Marino,5090,0,90.0,0,4998.0,0,2.0,0,149715.0,2647.0,66865.0,1966733.0,Europe,7.0,378.0,1.0,0,0,59.0,34000.0,43.94236,12.457777,14.97058823529412,98.19253438113948,0.03929273084479371,1.768172888015717
70,71.0,Bahrain,253879,0,1161.0,0,233480.0,0,19238.0,335.0,144545.0,661.0,4755524.0,2707539.0,Asia,7.0,1513.0,0.0,0,0,10953.0,1702000.0,25.930414000000003,50.637772,14.91650998824912,91.96506997427909,7.5776255617833685,0.45730446393754504
95,104.0,Maldives,69213,+341,191.0,+2,53392.0,"+2,179",15630.0,90.0,125975.0,348.0,914782.0,1665005.0,Asia,8.0,2877.0,1.0,621.0,4.0,28448.0,541000.0,3.202778,73.22068,12.793530499075786,77.14157744932311,22.58246283212691,0.27595971854998336
131,172.0,Gibraltar,4304,+2,94.0,0,4199.0,0,11.0,0,127783.0,2791.0,261858.0,7774420.0,Europe,8.0,358.0,0.0,59.0,0,327.0,34000.0,36.137741,-5.345374,12.658823529411764,97.56040892193309,0.2555762081784387,2.184014869888476
68,69.0,Slovenia,255907,+255,4392.0,+1,248093.0,+390,3422.0,47.0,123079.0,2112.0,1307855.0,629017.0,Europe,8.0,473.0,2.0,123.0,0.5,1646.0,2079000.0,46.151241,14.995463,12.309139009139008,96.94654698777289,1.3372045313336487,1.7162484808934495
94,103.0,Luxembourg,70291,0,818.0,0,68775.0,0,698.0,2.0,110612.0,1287.0,2950815.0,4643487.0,Europe,9.0,777.0,0.0,0,0,1098.0,626000.0,49.815273,6.129583,11.228594249201278,97.8432516253859,0.9930147529555703,1.163733621658534
25,26.0,Sweden,1081898,0,14525.0,0,1006975.0,"+2,432",60398.0,130.0,106505.0,1430.0,10239089.0,1007968.0,Europe,9.0,699.0,1.0,0,0,5946.0,10099000.0,60.128161,18.643501,10.712922071492228,93.07485548545242,5.582596510946503,1.3425480036010788
0,1.0,USA,34250344,"+7,014",613329.0,+287,28242916.0,"+22,053",5394099.0,5095.0,102910.0,1843.0,490927350.0,1475063.0,North America,10.0,543.0,1.0,21.0,0.9,16207.0,331003000.0,37.09024,-95.712891,10.34744216819787,82.46024039933731,15.749035980485335,1.7907236201773622
126,154.0,Aruba,11064,0,107.0,0,10911.0,0,46.0,14.0,103219.0,998.0,169163.0,1578160.0,North America,10.0,1002.0,1.0,0,0,429.0,107000.0,12.52111,-69.968338,10.34018691588785,98.61713665943601,0.41576283441793205,0.9671005061460594
63,64.0,Lithuania,277002,+241,4320.0,+2,261391.0,+518,11291.0,118.0,103105.0,1608.0,3530591.0,1314146.0,Europe,10.0,622.0,1.0,90.0,0.7,4203.0,2722000.0,55.169438,23.881275,10.176414401175606,94.3643006187681,4.076143854557007,1.5595555266748975
140,194.0,St. Barth,1005,0,1.0,0,462.0,0,542.0,0,101464.0,101.0,26385.0,2663806.0,North America,10.0,9905.0,0.0,0,0,54720.0,10000.0,17.896179999999998,-62.84978,10.05,45.97014925373134,53.93034825870647,0.09950248756218905
87,90.0,Estonia,130310,+68,1265.0,+1,125191.0,+200,3854.0,10.0,98172.0,953.0,1458647.0,1098900.0,Europe,10.0,1049.0,1.0,51.0,0.8,2903.0,1327000.0,58.595271999999994,25.013607,9.81989449886963,96.07167523597575,2.957562735016499,0.9707620290077508
19,20.0,Netherlands,1667560,"+1,714",17700.0,+5,1548185.0,"+5,844",101675.0,314.0,97119.0,1031.0,14248931.0,829856.0,Europe,10.0,970.0,1.0,100.0,0.3,5922.0,17135000.0,52.132633,5.291266,9.731893784651298,92.84133704334477,6.097231883710331,1.0614310729449015
30,31.0,Israel,839585,0,6418.0,0,832981.0,0,186.0,34.0,90026.0,688.0,14739061.0,1580427.0,Asia,11.0,1453.0,1.0,0,0,20.0,8656000.0,31.046051000000002,34.851612,9.699457024029574,99.21342091628603,0.022153802176075085,0.7644252815379027
58,59.0,Uruguay,322978,0,4749.0,0,283397.0,0,34832.0,501.0,92677.0,1363.0,2439191.0,699912.0,South America,11.0,734.0,1.0,0,0,9995.0,3474000.0,-32.522779,-55.765834999999996,9.297006332757627,87.74498572658199,10.784635486008334,1.4703787874096688
27,28.0,Belgium,1072175,+904,25051.0,+10,989310.0,"+3,342",57814.0,336.0,92136.0,2153.0,14319318.0,1230519.0,Europe,11.0,465.0,1.0,78.0,0.9,4968.0,11590000.0,50.503887,4.469936,9.250862812769629,92.27131764870474,5.392216755660224,2.336465595635041
51,52.0,Panama,383733,0,6408.0,0,369273.0,0,8052.0,105.0,87648.0,1464.0,2739532.0,625734.0,North America,11.0,683.0,2.0,0,0,1839.0,4315000.0,8.537981,-80.782127,8.893001158748552,96.2317548920734,2.098333997857886,1.6699111100687198
8,9.0,Argentina,4008771,0,82667.0,0,3585811.0,0,340293.0,7794.0,87944.0,1814.0,14752240.0,323633.0,South America,11.0,551.0,3.0,0,0,7465.0,45196000.0,-38.416097,-63.616671999999994,8.869747322771927,89.44913540833338,8.488711378125616,2.062153213541008
55,56.0,Georgia,351249,+821,4982.0,+31,335895.0,+866,10372.0,0,88209.0,1251.0,5226145.0,1312445.0,Asia,11.0,799.0,1.0,206.0,8.0,2605.0,3989000.0,42.315407,43.356891999999995,8.805439959889696,95.62874200353595,2.9528909690846095,1.4183670273794373
3,4.0,France,5725492,"+5,557",110202.0,+65,5458414.0,"+15,342",156876.0,2326.0,87534.0,1685.0,87626503.0,1339676.0,Europe,11.0,594.0,1.0,85.0,1.0,2398.0,65274000.0,46.227638,2.213749,8.771474093819897,95.33528297655468,2.7399566709725556,1.9247603524727657
54,55.0,Croatia,358061,+275,8103.0,+7,348628.0,+159,1330.0,51.0,87727.0,1985.0,2060002.0,504714.0,Europe,11.0,504.0,2.0,67.0,2.0,326.0,4105000.0,45.1,15.2,8.722557856272838,97.36553268856424,0.37144508896528805,2.263022222470473
110,126.0,French Guiana,25093,0,129.0,0,9995.0,0,14969.0,32.0,82036.0,422.0,263970.0,862988.0,South America,12.0,2371.0,1.0,0,0,48938.0,299000.0,3.9338889999999997,-53.125781999999994,8.392307692307693,39.83182560873551,59.654086797114736,0.5140875941497629
29,30.0,Portugal,854522,+890,17037.0,0,813489.0,+525,23996.0,70.0,84033.0,1675.0,12089787.0,1188905.0,Europe,12.0,597.0,1.0,88.0,0,2360.0,10197000.0,39.399871999999995,-8.224454,8.380131411199372,95.19813416155465,2.8081196271131694,1.9937462113321833
